,movie_title,year,rate,director,writers,stars,metascore,imdb_rating
0,Tár,2022,R,"{'name': 'Todd Field', 'birthdate': 'February 24', 'birthyear': '1964', 'birthplace': 'Pomona, California, USA'}",['Todd Field'],"['Cate Blanchett', 'Noémie Merlant', 'Nina Hoss']",92,7.5
1,Aftersun,2022,R,"{'name': 'Charlotte Wells', 'birthdate': 'June 13', 'birthyear': '1987', 'birthplace': 'Edinburgh, Scotland, UK'}",['Charlotte Wells'],"['Paul Mescal', 'Frankie Corio', 'Celia Rowlson-Hall']",95,7.7
2,The Banshees of Inisherin,2022,R,"{'name': 'Martin McDonagh', 'birthdate': 'March 26', 'birthyear': '1970', 'birthplace': 'Camberwell, London, England, UK'}",['Martin McDonagh'],"['Colin Farrell', 'Brendan Gleeson', 'Kerry Condon']",87,7.8
3,Everything Everywhere All at Once,2022,R,"{'name': 'Dan Kwan', 'birthdate': 'February 10', 'birthyear': '1988', 'birthplace': 'Westborough, Massachusetts, USA'}","['Dan Kwan', 'Daniel Scheinert']","['Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis']",81,8.0
4,The Fabelmans,2022,PG-13,"{'name': 'Steven Spielberg', 'birthdate': 'December 18', 'birthyear': '1946', 'birthplace': 'Cincinnati, Ohio, USA'}",['Steven Spielberg'],"['Michelle Williams', 'Gabriel LaBelle', 'Paul Dano']",84,7.6
5,Decision to Leave,NA,NA,"{'name': 'Park Chan-wook', 'birthdate': 'August 23', 'birthyear': '1963', 'birthplace': 'Seoul, South Korea'}",['Park Chan-wook'],"['Park Hae-il', 'Tang Wei', 'Lee Jung-hyun']",84,7.3
6,Nope,2022,R,"{'name': 'Jordan Peele', 'birthdate': 'February 21', 'birthyear': '1979', 'birthplace': 'New York City, New York, USA'}",['Jordan Peele'],"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea']",77,6.9
7,RRR,2022,Not Rated,"{'name': 'S.S. Rajamouli', 'birthdate': 'October 10', 'birthyear': '1973', 'birthplace': 'Manvi, Karnataka, India'}",['S.S. Rajamouli'],"['N.T. Rama Rao Jr.', 'Ram Charan Teja', 'Ajay Devgn']",83,7.9
8,Top Gun: Maverick,2022,PG-13,"{'name': 'Joseph Kosinski', 'birthdate': 'May 3', 'birthyear': '1974', 'birthplace': 'Marshalltown, Iowa, USA'}",['Joseph Kosinski'],"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",78,8.3
9,All the Beauty and the Bloodshed,NA,NA,"{'name': 'Laura Poitras', 'birthdate': 'February 2', 'birthyear': '1964', 'birthplace': 'Boston, Massachusetts, USA'}",['Laura Poitras'],"['Nan Goldin', 'David Armstrong', 'Marina Berio']",90,7.8
10,Crimes of the Future,2022,R,"{'name': 'David Cronenberg', 'birthdate': 'March 15', 'birthyear': '1943', 'birthplace': 'Toronto, Ontario, Canada'}",['David Cronenberg'],"['Viggo Mortensen', 'Léa Seydoux', 'Kristen Stewart']",67,5.9
11,EO,NA,NA,"{'name': 'Jerzy Skolimowski', 'birthdate': 'May 5', 'birthyear': '1938', 'birthplace': 'Lódz, Lódzkie, Poland'}",['Jerzy Skolimowski'],"['Sandra Drzymalska', 'Isabelle Huppert', 'Lorenzo Zurzolo']",85,6.8
12,Benediction,2021,PG-13,"{'name': 'Terence Davies', 'birthdate': 'November 10', 'birthyear': '1945', 'birthplace': 'Liverpool, England, UK'}",['Terence Davies'],"['Jack Lowden', 'Thom Ashley', 'Orlando Jopling']",81,6.7
13,The Eternal Daughter,2022,PG-13,"{'name': 'Joanna Hogg', 'birthdate': 'March 20', 'birthyear': '1960', 'birthplace': 'London, England, UK'}",['Joanna Hogg'],"['Tilda Swinton', 'Carly-Sophia Davies', 'Zinnia Davies-Cooke']",80,6.0
14,Triangle of Sadness,2022,R,"{'name': 'Ruben Östlund', 'birthdate': 'April 13', 'birthyear': '1974', 'birthplace': 'Styrsö, Västra Götalands län, Sweden'}",['Ruben Östlund'],"['Harris Dickinson', 'Charlbi Dean', 'Dolly De Leon']",63,7.4
15,Elvis,2022,PG-13,"{'name': 'Baz Luhrmann', 'birthdate': 'September 17', 'birthyear': '1962', 'birthplace': 'New South Wales, Australia'}",['Baz Luhrmann'],"['Tom Hanks', 'Austin Butler', 'Olivia DeJonge']",64,7.3
16,Saint Omer,2022,PG-13,"{'name': 'Alice Diop', 'birthdate': '', 'birthyear': '', 'birthplace': ''}",['Alice Diop'],"['Kayije Kagame', 'Guslagie Malanda', 'Valérie Dréville']",91,7.0
17,Women Talking,2022,PG-13,"{'name': 'Sarah Polley', 'birthdate': 'January 8', 'birthyear': '1979', 'birthplace': 'Toronto, Ontario, Canada'}",['Sarah Polley'],"['Rooney Mara', 'Claire Foy', 'Jessie Buckley']",79,7.1
18,Living,2022,PG-13,"{'name': 'Oliver Hermanus', 'birthdate': 'May 26', 'birthyear': '1983', 'birthplace': 'Cape Town, South Africa'}",['Oliver Hermanus'],"['Bill Nighy', 'Aimee Lou Wood', 'Alex Sharp']",81,7.5
19,Bones and All,2022,R,"{'name': 'Luca Guadagnino', 'birthdate': 'August 10', 'birthyear': '1971', 'birthplace': 'Palermo, Sicily, Italy'}",['Luca Guadagnino'],"['Timothée Chalamet', 'Taylor Russell', 'Mark Rylance']",74,6.9
20,Happening,2021,R,"{'name': 'Audrey Diwan', 'birthdate': '', 'birthyear': '', 'birthplace': ''}",['Audrey Diwan'],"['Anamaria Vartolomei', 'Kacey Mottet Klein', 'Luàna Bajrami']",86,7.4
21,Return to Seoul,2022,R,"{'name': 'Davy Chou', 'birthdate': 'August 13', 'birthyear': '1983', 'birthplace': 'Fontenay-aux-Roses, Hauts-de-Seine, France'}",['Davy Chou'],"['Park Ji-min', 'Oh Kwang-rok', 'Guka Han']",88,7.1
