,Directed_by,Written_by,Produced_by,Starring,Cinematography,Edited_by,Music_by,Productioncompanies,Distributed_by,Release_dates,Running_time,Countries,Languages,Box_office,Language,Budget,Country,Hangul,Hanja,Productioncompany,Screenplay_by,Story_by,Release_date,Based_on,French,Korean,Narrated_by,Persian,Literally,Opening_film,Closing_film,Location,Founded,Awards,Festival_date,Website,Spanish
TÁR,Todd Field,Todd Field,"Todd Field,Alexandra Milchan,Scott Lambert","Cate Blanchett,Nomie Merlant,Nina Hoss,Sophie Kauer,Julian Glover,Allan Corduner,Mark Strong",Florian Hoffmeister,Monika Willi[de; fr],Hildur Gunadttir,"Standard Film Company,EMJAG Productions","Focus Features (United States),Universal Pictures (international)","September1,2022(2022-09-01) (Venice),October7,2022(2022-10-07) (United States),February23,2023(2023-02-23) (Germany)",158 minutes,"United States,Germany","English,German,French,Tagalog",$15.4 million,,,,,,,,,,,,,,,,,,,,,,,
Aftersun,Charlotte Wells,Charlotte Wells,"Adele Romanski,Amy Jackson,Barry Jenkins,Mark Ceryak","Paul Mescal,Frankie Corio,Celia Rowlson-Hall",Gregory Oke,Blair McClendon,Oliver Coates,"BBC Film,Screen Scotland,Tango Entertainment,British Film Institute,Pastel Productions,Unified Theory","Mubi (United Kingdom),A24 (United States)","21May2022(2022-05-21) (Cannes),21October2022(2022-10-21) (United States),18November2022(2022-11-18) (United Kingdom)",101 minutes,"United Kingdom,United States",,$5 million,English,,,,,,,,,,,,,,,,,,,,,,
The Banshees of Inisherin,Martin McDonagh,Martin McDonagh,"Graham Broadbent,Pete Czernin,Martin McDonagh","Colin Farrell,Brendan Gleeson,Kerry Condon,Barry Keoghan",Ben Davis,Mikkel E. G. Nielsen,Carter Burwell,"Film4 Productions,Blueprint Pictures,TSG Entertainment",Searchlight Pictures,"5September2022(2022-09-05) (Venice),21October2022(2022-10-21) (United Kingdom/United States)",114 minutes,"United Kingdom,United States",,$43.7million,English,$20 million,,,,,,,,,,,,,,,,,,,,,
Everything Everywhere All at Once,Daniel KwanDaniel Scheinert,"Daniel Kwan,Daniel Scheinert","Anthony RussoJoe Russo,Mike Larocca,Daniel Kwan,Daniel Scheinert,Jonathan Wang,Peter Tam Lee","Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,Jenny Slate,Harry Shum Jr.,James Hong,Jamie Lee Curtis",Larkin Seiple,Paul Rogers,Son Lux,"IAC Films,Gozie AGBO,Year of the Rat,Ley Line Entertainment",A24,"March11,2022(2022-03-11) (SXSW),March25,2022(2022-03-25) (United States)",139 minutes,,"English,Mandarin,Cantonese",$107.4 million,,$14.325 million,United States,,,,,,,,,,,,,,,,,,,,
The Fabelmans,Steven Spielberg,"Steven Spielberg,Tony Kushner","Kristie Macosko Krieger,Steven Spielberg,Tony Kushner","Michelle Williams,Paul Dano,Seth Rogen,Gabriel LaBelle,Judd Hirsch",Janusz Kamiski,"Michael Kahn,Sarah Broshar",John Williams,"Amblin Entertainment,Reliance Entertainment",Universal Pictures,"September10,2022(2022-09-10) (TIFF),November11,2022(2022-11-11) (United States)",151 minutes,,,$31.5 million,English,$40 million,United States,,,,,,,,,,,,,,,,,,,,
Decision to Leave,Park Chan-wook,"Jeong Seo-kyeong,Park Chan-wook",Park Chan-wook,"Tang Wei,Park Hae-il",Kim Ji-yong,Kim Sang-bum,Jo Yeong-wook,,CJ Entertainment,"23May2022(2022-05-23) (Cannes),29June2022(2022-06-29) (South Korea)",139 minutes,,,US$23.2 million,Korean,,South Korea, , ,Moho Film,,,,,,,,,,,,,,,,,
Nope,Jordan Peele,Jordan Peele,"Jordan Peele,Ian Cooper","Daniel Kaluuya,Keke Palmer,Steven Yeun,Michael Wincott,Brandon Perea,Keith David",Hoyte van Hoytema,Nicholas Monsour,Michael Abels,"Universal Pictures,Monkeypaw Productions",Universal Pictures,"July18,2022(2022-07-18) (Los Angeles),July22,2022(2022-07-22) (United States)",130 minutes,,,$171.2 million,English,$68 million,United States,,,,,,,,,,,,,,,,,,,,
RRR,S. S. Rajamouli,,D. V. V. Danayya,"N. T. Rama Rao Jr.,Ram Charan,Ajay Devgn,Alia Bhatt,Shriya Saran,Samuthirakani,Ray Stevenson,Alison Doody,Olivia Morris",K. K. Senthil Kumar,A. Sreekar Prasad,M. M. Keeravani,,Pen Studios (North India)Lyca Productions (Tamil Nadu)KVN Productions (Karnataka)HR Pictures (Kerala),,182 minutes,,,"est. 1,2001,258 crore",Telugu,550 crore,India,,,DVV Entertainment,S. S. Rajamouli,V. Vijayendra Prasad,25March2022(2022-03-25),,,,,,,,,,,,,,
Top Gun: Maverick,Joseph Kosinski,,"Jerry Bruckheimer,Tom Cruise,Christopher McQuarrie,David Ellison","Tom Cruise,Miles Teller,Jennifer Connelly,Jon Hamm,Glen Powell,Lewis Pullman,Ed Harris,Val Kilmer",Claudio Miranda,Eddie Hamilton,"Harold Faltermeyer,Lady Gaga,Hans Zimmer","Paramount Pictures,Skydance,TC Productions,Don Simpson/Jerry Bruckheimer Films",Paramount Pictures,"April28,2022(2022-04-28) (CinemaCon),May27,2022(2022-05-27) (United States)",130 minutes,,,$1.489billion,English,$170million,United States,,,,"Ehren Kruger,Eric Warren Singer,Christopher McQuarrie","Peter Craig,Justin Marks",,Charactersby Jim CashJack Epps Jr.,,,,,,,,,,,,,
All the Beauty and the Bloodshed,Laura Poitras,,"Laura Poitras,Nan Goldin,Yoni Golijov,Clare Carter,John Lyons",Nan Goldin,"Nan Goldin (credited as Photography and Slideshows),Clare Carter,Robert Kolodny,Alexander W. Lewis,Laura Poitras,Sean Vegezzi,Thom Pavia",Amy FooteJoe BiniBrian A. Kates,Soundwalk CollectiveDawn Sutter Madell,"Praxis Films,Participant,HBO Documentary Films",Neon,"September3,2022(2022-09-03) (Venice),November23,2022(2022-11-23) (United States)",113 minutes,,,"$939,019",English,,United States,,,,,,,,,,,,,,,,,,,,
