,movie_title,genres,director_name,director_birthdate,director_birthyear,director_birthplace,director_img_url,writers,stars,metascore,imdb_rating
0,Tár,"['Drama', 'Music']",Todd Field,February 24,1964,"Pomona, California, USA","https://m.media-amazon.com/images/M/MV5BMTI1ODI1MzI3Ml5BMl5BanBnXkFyZXN1bWU@._V1_QL75_UY207_CR11,0,140,207_.jpg",['Todd Field'],"['Cate Blanchett', 'Noémie Merlant', 'Nina Hoss']",92,7.5
1,Aftersun,['Drama'],Charlotte Wells,June 13,1987,"Edinburgh, Scotland, UK","https://m.media-amazon.com/images/M/MV5BNmVlMTRhYzQtMzdhNy00ZGI2LWFiZWEtMDRjODY2M2VkZGRmXkEyXkFqcGdeQXVyMzI5ODA0Mw@@._V1_QL75_UX140_CR0,1,140,207_.jpg",['Charlotte Wells'],"['Paul Mescal', 'Frankie Corio', 'Celia Rowlson-Hall']",95,7.7
2,The Banshees of Inisherin,"['Comedy', 'Drama']",Martin McDonagh,March 26,1970,"Camberwell, London, England, UK","https://m.media-amazon.com/images/M/MV5BMTgxMTQ2Njc5NF5BMl5BanBnXkFtZTcwMDU2Mzc1MQ@@._V1_QL75_UY207_CR6,0,140,207_.jpg",['Martin McDonagh'],"['Colin Farrell', 'Brendan Gleeson', 'Kerry Condon']",87,7.8
3,Everything Everywhere All at Once,"['Action', 'Adventure', 'Comedy']",Dan Kwan,February 10,1988,"Westborough, Massachusetts, USA","https://m.media-amazon.com/images/M/MV5BMjJiZjk1YzAtNGI1Ny00MWE5LWFkMGMtOGRmY2FlNDg4Zjg2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_QL75_UY207_CR7,0,140,207_.jpg","['Dan Kwan', 'Daniel Scheinert']","['Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis']",81,8.0
4,The Fabelmans,['Drama'],Steven Spielberg,December 18,1946,"Cincinnati, Ohio, USA","https://m.media-amazon.com/images/M/MV5BMTY1NjAzNzE1MV5BMl5BanBnXkFtZTYwNTk0ODc0._V1_QL75_UX140_CR0,1,140,207_.jpg","['Steven Spielberg', 'Tony Kushner']","['Michelle Williams', 'Gabriel LaBelle', 'Paul Dano']",84,7.6
5,Decision to Leave,"['Crime', 'Drama', 'Mystery']",Park Chan-wook,August 23,1963,"Seoul, South Korea","https://m.media-amazon.com/images/M/MV5BMTgyODk3MTU5OV5BMl5BanBnXkFtZTcwMTc3NjcyMQ@@._V1_QL75_UY207_CR10,0,140,207_.jpg","['Park Chan-wook', 'Chung Seo-kyung']","['Park Hae-il', 'Tang Wei', 'Lee Jung-hyun']",84,7.3
6,Nope,"['Horror', 'Mystery', 'Sci-Fi']",Jordan Peele,February 21,1979,"New York City, New York, USA","https://m.media-amazon.com/images/M/MV5BNGI2MTJjNDgtYjdmMi00YWE4LTk3Y2MtYWQyM2Q0NTVmZWYyXkEyXkFqcGdeQXVyNTc0NjQ2Mg@@._V1_QL75_UY207_CR34,0,140,207_.jpg",['Jordan Peele'],"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea']",77,6.9
7,RRR,"['Action', 'Adventure', 'Drama']",S.S. Rajamouli,October 10,1973,"Manvi, Karnataka, India","https://m.media-amazon.com/images/M/MV5BMTQ3Njc4ODU1OF5BMl5BanBnXkFtZTgwNDcxMTIzOTE@._V1_QL75_UY207_CR78,0,140,207_.jpg","['Vijayendra Prasad', 'S.S. Rajamouli', 'Sai Madhav Burra']","['N.T. Rama Rao Jr.', 'Ram Charan Teja', 'Ajay Devgn']",83,7.9
8,Top Gun: Maverick,"['Action', 'Drama']",Joseph Kosinski,May 3,1974,"Marshalltown, Iowa, USA","https://m.media-amazon.com/images/M/MV5BMzE1NDE3MzYtYTNiMC00MDU5LWJjZTgtMDllODNkYzY1NjNmXkEyXkFqcGdeQXVyNTQxNTQ4Mg@@._V1_QL75_UX140_CR0,1,140,207_.jpg","['Jim Cash', 'Jack Epps Jr.', 'Peter Craig']","['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",78,8.3
9,All the Beauty and the Bloodshed,['Documentary'],Laura Poitras,February 2,1964,"Boston, Massachusetts, USA","https://m.media-amazon.com/images/M/MV5BMjk0ZDhiZjgtMTNiZi00OTA3LWFmOGUtNDYzMGE3YzI0ZTNlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UX140_CR0,1,140,207_.jpg",,"['Nan Goldin', 'David Armstrong', 'Marina Berio']",90,7.8
10,Crimes of the Future,"['Drama', 'Horror', 'Sci-Fi']",David Cronenberg,March 15,1943,"Toronto, Ontario, Canada","https://m.media-amazon.com/images/M/MV5BMTM5NjM3OTYyMV5BMl5BanBnXkFtZTYwMzcyMzY1._V1_QL75_UX140_CR0,1,140,207_.jpg",['David Cronenberg'],"['Viggo Mortensen', 'Léa Seydoux', 'Kristen Stewart']",67,5.9
